correct,dataset,declared,evaluation_seconds,false_links,fraction,lambda,missing_matches,model_loaded_from_checkpoint,model_path,n_fit_pairs,n_holdout,n_labelled_a,n_train_pairs_total,n_true_records,n_validation_pairs,prediction_path,psi,score_path,seed,threshold,train_seconds_this_run,unmatched_abstentions,validation_f1
231,DBLP,237,6.795290946960449,6,0.9,0.02531645569620253,5,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_51,84743,262,2354,105929,238,21186,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed51.csv,0.02100840336134454,sigmoid(CrossEncoder.predict),51,0.3500000000000001,620.6835539340973,20,0.9438717067583047
477,ECOM,499,14.711016654968262,22,0.5,0.04408817635270541,42,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_42,21597,541,540,26997,541,5400,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed42.csv,0.07763401109057301,sigmoid(CrossEncoder.predict),42,0.25000000000000006,177.9853217601776,0,0.8623853211009175
456,ECOM,475,15.215277910232544,19,0.5,0.04,66,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_43,21597,541,540,26997,541,5400,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed43.csv,0.12199630314232902,sigmoid(CrossEncoder.predict),43,0.6000000000000002,190.81542944908142,0,0.8796296296296297
441,ECOM,455,14.518379211425781,14,0.5,0.03076923076923077,86,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_44,21595,541,540,26994,541,5399,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed44.csv,0.1589648798521257,sigmoid(CrossEncoder.predict),44,0.8000000000000002,163.50304889678955,0,0.8095238095238095
454,ECOM,479,14.395957469940186,25,0.5,0.05219206680584551,62,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_45,21593,541,540,26992,541,5399,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed45.csv,0.11460258780036968,sigmoid(CrossEncoder.predict),45,0.30000000000000004,151.01535487174988,0,0.8899082568807339
461,ECOM,480,14.392464637756348,19,0.5,0.03958333333333333,61,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_46,21596,541,540,26995,541,5399,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed46.csv,0.11275415896487985,sigmoid(CrossEncoder.predict),46,0.7500000000000002,164.22638511657715,0,0.8544600938967136
438,ECOM,450,14.545064449310303,12,0.5,0.02666666666666667,91,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_47,21593,541,540,26992,541,5399,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed47.csv,0.16820702402957485,sigmoid(CrossEncoder.predict),47,0.9000000000000002,161.73828101158142,0,0.8275862068965517
446,ECOM,458,14.85224461555481,12,0.5,0.026200873362445413,83,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_48,21598,541,540,26998,541,5400,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed48.csv,0.1534195933456562,sigmoid(CrossEncoder.predict),48,0.7500000000000002,178.96005368232727,0,0.8365384615384616
447,ECOM,463,14.433746099472046,16,0.5,0.03455723542116631,78,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_49,21596,541,540,26995,541,5399,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed49.csv,0.14417744916820702,sigmoid(CrossEncoder.predict),49,0.8000000000000002,152.66109800338745,0,0.8679245283018868
443,ECOM,462,14.493035793304443,19,0.5,0.04112554112554113,79,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_50,21592,541,540,26990,541,5398,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed50.csv,0.14602587800369685,sigmoid(CrossEncoder.predict),50,0.8500000000000002,189.99445509910583,0,0.8679245283018868
454,ECOM,474,15.01056694984436,20,0.5,0.04219409282700422,67,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p50/seed_51,21593,541,540,26992,541,5399,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p50_seed51.csv,0.12384473197781885,sigmoid(CrossEncoder.predict),51,0.8000000000000002,158.72809410095215,0,0.821256038647343
372,ECOM,388,11.970998287200928,16,0.6,0.041237113402061855,45,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p60/seed_42,25912,433,648,32391,433,6479,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p60_seed42.csv,0.10392609699769054,sigmoid(CrossEncoder.predict),42,0.45000000000000007,198.74467706680298,0,0.8484848484848485
333,ECOM,345,11.648024082183838,12,0.6,0.034782608695652174,88,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p60/seed_43,25914,433,648,32393,433,6479,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p60_seed43.csv,0.20323325635103925,sigmoid(CrossEncoder.predict),43,0.9000000000000002,228.001624584198,0,0.852589641434263
358,ECOM,370,11.714054822921753,12,0.6,0.032432432432432434,63,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p60/seed_44,25915,433,648,32394,433,6479,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p60_seed44.csv,0.14549653579676675,sigmoid(CrossEncoder.predict),44,0.5000000000000001,216.99746227264404,0,0.8605577689243028
355,ECOM,367,11.592291355133057,12,0.6,0.0326975476839237,66,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p60/seed_45,25911,433,648,32389,433,6478,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p60_seed45.csv,0.15242494226327943,sigmoid(CrossEncoder.predict),45,0.30000000000000004,197.25837969779968,0,0.8408163265306122
375,ECOM,384,11.854410171508789,9,0.6,0.0234375,49,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/ECOM/f_0p60/seed_46,25915,433,648,32394,433,6479,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_ECOM_f0p60_seed46.csv,0.11316397228637413,sigmoid(CrossEncoder.predict),46,0.5000000000000001,222.08298540115356,0,0.8515625
