dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
ECOM,42,primary,k=50,bi-encoder,LR,0.23218997361477572,0.29944547134935307,379,291,88,162,541,0,0,0.15000000000000002
ECOM,43,primary,forced-1:1,string,MEC,0.24757281553398058,0.23844731977818853,412,310,102,129,541,0,0,
ECOM,43,primary,forced-1:1,string,LR,0.2905027932960894,0.0073937153419593345,537,381,156,4,541,0,0,0.3500000000000001
ECOM,43,primary,forced-1:1,bi-encoder,MEC,0.22346368715083798,0.33826247689463956,358,278,80,183,541,0,0,
ECOM,43,primary,forced-1:1,bi-encoder,LR,0.2720306513409962,0.03512014787430684,522,380,142,19,541,0,0,0.40000000000000013
ECOM,43,primary,k=5,string,MEC,0.3726851851851852,0.20147874306839186,432,271,161,109,541,0,0,
ECOM,43,primary,k=5,string,LR,0.29411764705882354,0.4658040665434381,289,204,85,252,541,0,0,0.30000000000000004
ECOM,43,primary,k=5,bi-encoder,MEC,0.27358490566037735,0.21626617375231053,424,308,116,117,541,0,0,
ECOM,43,primary,k=5,bi-encoder,LR,0.20930232558139536,0.4436229205175601,301,238,63,240,541,0,0,0.30000000000000004
ECOM,43,primary,k=50,string,MEC,0.437636761487965,0.15526802218114602,457,257,200,84,541,0,0,
ECOM,43,primary,k=50,string,LR,0.3302752293577982,0.3955637707948244,327,219,108,214,541,0,0,0.15000000000000002
ECOM,43,primary,k=50,bi-encoder,MEC,0.32815533980582523,0.04805914972273567,515,346,169,26,541,0,0,
ECOM,43,primary,k=50,bi-encoder,LR,0.1965065502183406,0.5767097966728281,229,184,45,312,541,0,0,0.25000000000000006
ECOM,44,primary,forced-1:1,string,MEC,0.28743961352657005,0.23475046210720887,414,295,119,127,541,0,0,
ECOM,44,primary,forced-1:1,string,LR,0.30868761552680224,0.0,541,374,167,0,541,0,0,0.1
ECOM,44,primary,forced-1:1,bi-encoder,MEC,0.26575342465753427,0.32532347504621073,365,268,97,176,541,0,0,
ECOM,44,primary,forced-1:1,bi-encoder,LR,0.29558541266794625,0.036968576709796676,521,367,154,20,541,0,0,0.40000000000000013
ECOM,44,primary,k=5,string,MEC,0.40358744394618834,0.1756007393715342,446,266,180,95,541,0,0,
ECOM,44,primary,k=5,string,LR,0.3436426116838488,0.46210720887245843,291,191,100,250,541,0,0,0.30000000000000004
ECOM,44,primary,k=5,bi-encoder,MEC,0.28703703703703703,0.20147874306839186,432,308,124,109,541,0,0,
ECOM,44,primary,k=5,bi-encoder,LR,0.26790450928381965,0.3031423290203327,377,276,101,164,541,0,0,0.25000000000000006
ECOM,44,primary,k=50,string,MEC,0.46808510638297873,0.13123844731977818,470,250,220,71,541,0,0,
ECOM,44,primary,k=50,string,LR,0.33,0.6303142329020333,200,134,66,341,541,0,0,0.20000000000000004
ECOM,44,primary,k=50,bi-encoder,MEC,0.3339805825242718,0.04805914972273567,515,343,172,26,541,0,0,
ECOM,44,primary,k=50,bi-encoder,LR,0.2692307692307692,0.32717190388170053,364,266,98,177,541,0,0,0.15000000000000002
ECOM,45,diagnostic,forced-1:1,string,MEC,0.2589928057553957,0.22920517560073936,417,309,108,124,541,0,0,
ECOM,45,diagnostic,forced-1:1,string,LR,0.2680221811460259,0.0,541,396,145,0,541,0,0,0.1
ECOM,45,diagnostic,forced-1:1,bi-encoder,MEC,0.20760233918128654,0.3678373382624769,342,271,71,199,541,0,0,
ECOM,45,diagnostic,forced-1:1,bi-encoder,LR,0.23946360153256704,0.03512014787430684,522,397,125,19,541,0,0,0.40000000000000013
ECOM,45,diagnostic,k=5,string,MEC,0.36551724137931035,0.19593345656192238,435,276,159,106,541,0,0,
ECOM,45,diagnostic,k=5,string,LR,0.3770491803278688,0.09796672828096119,488,304,184,53,541,0,0,0.15000000000000002
ECOM,45,diagnostic,k=5,bi-encoder,MEC,0.2577777777777778,0.16820702402957485,450,334,116,91,541,0,0,
ECOM,45,diagnostic,k=5,bi-encoder,LR,0.24848484848484848,0.08502772643253234,495,372,123,46,541,0,0,0.15000000000000002
ECOM,45,diagnostic,k=50,string,MEC,0.4153846153846154,0.1589648798521257,455,266,189,86,541,0,0,
ECOM,45,diagnostic,k=50,string,LR,0.2953020134228188,0.4491682070240296,298,210,88,243,541,0,0,0.15000000000000002
ECOM,45,diagnostic,k=50,bi-encoder,MEC,0.2940038684719536,0.04436229205175601,517,365,152,24,541,0,0,
